标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市国土资源局挂牌出让结果公示〔2018年2月22日至2018年3月6日〕,本站,2018-03-07 09:29:35 ,2018年2月22日至2018年3月6日,〔2018〕2号土地,明晖路东、振兴路北,29814.12平方米,郑州丰捷商贸有限公司,2341万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727925.jhtml,096be9f21e31f65be7227aca3d31a511,
郑州市国土资源局挂牌出让结果公示〔2018年2月22日至2018年3月7日〕,本站,2018-03-09 09:30:10 ,2018年2月22日至2018年3月7日,〔2018〕3号（网）土地,金京西环东、祥云大道北,39223.29平方米,河南惠花城乡建设发展有限公司,30273万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727932.jhtml,1a213ac9f1aafc407a8ca49c1664ec8c,
郑州市国土资源局挂牌出让结果公示〔2018年2月27日至2018年3月12日〕,本站,2018-03-15 09:30:53 ,2018年2月27日至2018年3月12日,〔2018〕10号（网）土地,莲花街北、须水河东路东,43107.16平方米,郑州高新实业有限公司,29348万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727938.jhtml,79f071bcf47b87f14617623acc57f065,
郑州市国土资源局挂牌出让结果公示〔2018年3月5日至2018年3月16日〕,本站,2018-03-21 09:31:31 ,2018年3月5日至2018年3月16日,〔2018〕18号（网）土地,国泰北路南、中州大道西,58813.13平方米,河南中之祥置业有限公司,51385万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727939.jhtml,6a44662c466d44faaf4538a3bea63da7,
郑州市国土资源局挂牌出让结果公示〔2018年3月8日至2018年3月21日〕,本站,2018-03-27 09:32:18 ,2018年3月8日至2018年3月21日,〔2018〕26号（网）土地,苏屯路北、清华园路西,46745.14平方米,河南省美景之州地产开发有限公司,32451万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727945.jhtml,40b9b071674946a4127d12989cc415e8,
郑州市国土资源局挂牌出让结果公示〔2018年3月20日至2018年4月2日〕,本站,2018-04-03 09:33:59 ,2018年3月20日至2018年4月2日,〔2018〕42号（网）土地,紫荆山南路东、白桦路南,35181.08平方米,河南鑫苑广晟置业有限公司,40329万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727952.jhtml,128f8ed352d867475e14d3f45cf97262,
郑州市国土资源局挂牌出让结果公示〔2018年3月27日至2018年4月10日〕,本站,2018-04-14 09:35:26 ,2018年3月27日至2018年4月10日,〔2018〕43号（网）土地,泉州路东、金龙路北,38171.73平方米,河南正商华府置业有限公司,26499万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727953.jhtml,ebc0dd0d9708d0d213e6b9944f62db09,
郑州市国土资源局挂牌出让结果公示〔2018年3月28日至2018年4月12日〕,本站,2018-04-19 09:35:55 ,2018年3月28日至2018年4月12日,〔2018〕48号（网）土地,冬青西街南、须水河东路东,45860.42平方米,郑州瑞信房地产开发有限公司,38161万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727960.jhtml,710e8a81bc52168435460cd1dd15d60f,
郑州市国土资源局挂牌出让结果公示〔2018年4月13日至2018年4月27日〕,本站,2018-05-05 09:37:20 ,2018年4月13日至2018年4月27日,〔2018〕53号（网）土地,五龙口南路南、化肥西路东,20909.08平方米,河南鑫苑广晟置业有限公司,22131万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727966.jhtml,fe6aa6f780a2fd5cb5f75004d1f15cf0,
郑州市国土资源局挂牌出让结果公示〔2018年4月20日至2018年5月7日〕,本站,2018-05-11 09:37:54 ,2018年4月20日至2018年5月7日,〔2018〕59号（网）土地,环保北路北、化肥西路西,45534.82平方米,河南鑫苑广晟置业有限公司,48195万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727967.jhtml,67c4169787579029bb89be8322d517ee,
郑州市国土资源局挂牌出让结果公示〔2018年5月24日至2018年6月15日〕,本站,2018-06-19 14:16:38 ,2018年5月24日至2018年6月15日,〔2018〕63号（网）土地,丰产路南、政六街西,76813.62平方米,河南惠昌城乡建设发展有限公司,11963万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739174.jhtml,03d854f10880e44b9625803bd9494a42,
郑州市国土资源局挂牌出让结果公示〔2018年6月8日至2018年6月25日〕,本站,2018-06-29 14:17:00 ,2018年6月8日至2018年6月25日,〔2018〕66号（网）土地,国基路北、黄家庵北路东,52314.14平方米,郑州市金水碧海房地产开发有限公司,38237万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739178.jhtml,5810a0b4058083f61b8101e0264201b0,
郑州市国土资源局挂牌出让结果公示〔2018年6月28日至2018年7月16日〕,本站,2018-07-19 14:19:09 ,2018年6月28日至2018年7月16日,〔2018〕70号（网）土地,滨河路北、天山南路东,56972.98平方米,河南康桥美景房地产开发有限责任公司,109346万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739185.jhtml,45796451833cacb170722004a3b35f25,
郑州市国土资源局挂牌出让结果公示〔2018年7月2日至2018年7月16日〕,本站,2018-07-20 14:19:40 ,2018年7月2日至2018年7月16日,〔2018〕82号（网）土地,郑上南辅道南、爱民东路东,12478.77平方米,河南荣田房地产开发有限公司,16904万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1958558.jhtml,6dd7bc99ccf051fe309e184b103fa991,
郑州市国土资源局挂牌出让结果公示〔2018年7月18日至2018年8月1日〕,本站,2018-08-03 14:20:34 ,2018年7月18日至2018年8月1日,〔2018〕93号（网）土地,二里岗南街南、魏庄西街东,20648.69平方米,郑州鼎发置业有限公司,28258万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739209.jhtml,41b6546542119ac7391b909268cad430,
郑州市国土资源局挂牌出让结果公示〔2018年7月30日至2018年8月13日〕,本站,2018-08-16 14:21:53 ,2018年7月30日至2018年8月13日,〔2018〕96号（网）土地,桐柏路西、医院南路北,30641.09平方米,河南融创晟元置业有限公司,32295万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739216.jhtml,aa67aa7b8f86d5b3e68bde6db75ffd24,
