标题,来源,时间,序号,批准文号,用地单位,供地方式,批准时间,位置,用途,面积,容积率,供应方案文号,爬取地址url,唯一标识,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,26,,郑州市第二建筑工程有限责任公司,协议出让,,桐柏路西、伊河路南,其他普通商品住房用地,0.18913,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,27,,郑州交通运输集团有限责任公司,协议出让,,铭功路西、金水河南,商务金融用地,0.121894,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,28,,格力电器（郑州）有限公司,划拨,,金菊西街北、须水河东路东,公共租赁住房用地,9.588475,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,29,,郑州市第二建筑工程有限责任公司,协议出让,,黄河北街东、红旗路北,商务金融用地,0.142451,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,30,,郑州市第二建筑工程有限责任公司,协议出让,,劳动路北、卫生路西,工业用地,0.262163,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,31,,郑州宇通集团有限公司,协议出让,,药厂街北、腊梅路东,工业用地,5.348907,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,32,,郑州高新城建设发展有限公司,协议出让,,枫香路东、莲花街北,科教用地,5.03649,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,33,,郑州高新城建设发展有限公司,协议出让,,红松路西、莲花街北,科教用地,3.781614,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,34,,郑州航天电子技术有限公司,协议出让,,合欢西街北、西四环西,工业用地,1.548564,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,35,,河南第一火电建设公司,协议出让,,玉兰街南、长椿路西,科教用地,1.689719,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,36,,郑州大元机械制造有限公司,协议出让,,海桐街南、科隆路西,工业用地,0.1643,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,37,,郑州瀚琳机械制造有限公司,协议出让,,海桐街南、科隆路西,工业用地,0.190087,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,38,,河南领先种业有限公司,协议出让,,化工路北、克隆路西,工业用地,0.043428,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,39,,河南泰之恒房地产开发有限公司,协议出让,,商程路北、凤台路西,工业用地,0.476637,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,40,,中国石油化工股份有限公司润滑油郑州分公司,协议出让,,梧桐街南、金梭路西,仓储用地,4.445385,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市第十八中学,划拨,2014-11-28,碧云路西、郑航北路北,科教用地,4.915106,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南金牛置业有限公司,划拨,2014-12-24,京广南路东、南屏路南,经济适用住房用地,2.285747,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南魏都置业有限公司,划拨,2014-12-24,郑密公路东、杏贾路北,经济适用住房用地,0.727041,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南一通房地产开发有限公司,划拨,2015-01-04,环翠路北、碧云路东,经济适用住房用地,7.046286,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,河南金牛置业有限公司,划拨,2015-01-27,京广南路东、环翠路北,经济适用住房用地,4.619233,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州大学第二附属医院,划拨,2015-03-09,南阳路东、海滩北街北,医卫慈善用地,0.725313,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市污水净化有限公司,划拨,2015-05-15,郑峪路南、日照路东,公共设施用地,4.4202,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市第七中学,划拨,2015-05-19,新柳路北、团结路东,科教用地,16.96672,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市惠济区教育体育局,划拨,2015-05-21,东风渠滨河路东、天元路北,科教用地,1.425894,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市污水净化有限公司,划拨,2015-06-15,南三环南、紫辰路东,公共设施用地,7.261689,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,郑州市污水净化有限公司,划拨,2015-06-17,贾鲁河南、迎宾东路西,公共设施用地,26.27806,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
2014年11月-2015划拨结果,本站,2015-12-19 10:24:13 ,,,管城回族区教育体育局,划拨,2015-07-16,银莺路西、耿庄南路南,科教用地,4.449732,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715227.jhtml,f5a8ca1066e1828578e1592d3bddc9c5,
