文件标题,发布时间,地块编号,具体位置,出让面积,容积率,用途,供地方式,使用年限,竞得(人),成交价格,成交日期,爬取地址url,唯一标识,
津北金（挂）2019-133号,2019-10-23,津北金（挂）2019-133号,河北区金钟河大街与万柳村大街交口东北侧,26998.4方米,,经营性用地,挂牌,城镇住宅70年、商服40年、公园与绿地50年,天津弘创置业有限公司,72500万元,2019-10-23,2020-05-08 14:39:05,http://218.69.100.10/news.aspx?id=1017478,826109b7e2440f415039683ed56bd3a9,
津宁（挂）G2019-10号,2019-10-24,津宁（挂）G2019-10号,天津市宁河区现代产业区,7237.1方米,≥1.0,工业用地,挂牌,50年,天津腾悦模具有限公司,310万元,2019-10-24,2020-05-08 14:39:09,http://218.69.100.10/news.aspx?id=1017545,c33fad4c775943dfc4274cd1cff198ae,
津南（挂）2019-17号,2019-10-24,津南（挂）2019-17号,津南区辛庄镇,38321.3方米,大于1.0且不大于2.0,经营性用地,挂牌,城镇住宅70年、教育50年,石家庄市美的房地产开发有限公司,65500万元,2019-10-24,2020-05-08 14:39:10,http://218.69.100.10/news.aspx?id=1017546,86e9dfb4ca0df78a463987502dab072f,
津宝（挂）2019-027号,2019-10-25,津宝（挂）2019-027号,宝坻区支路一与支路四交口,64614.9方米,大于1.0且不大于1.2,经营性用地,挂牌,城镇住宅70年、商服40年,天津城投置地投资发展有限公司,27740万元,2019-10-25,2020-05-08 14:39:12,http://218.69.100.10/news.aspx?id=1017635,0097531a82903828c5fb0f226ea8d7f2,
津宝（挂）2019-028号,2019-10-25,津宝（挂）2019-028号,宝坻区次干路一与钰华街交口,62309.4方米,大于1.0且不大于1.6,经营性用地,挂牌,城镇住宅70年、商服40年,天津城投置地投资发展有限公司,31310万元,2019-10-25,2020-05-08 14:39:15,http://218.69.100.10/news.aspx?id=1017636,2d3df97b40574e912676e4f156a5b9fc,
津南（挂）2019-15号,2019-10-25,津南（挂）2019-15号,津南区小站镇,28919.4方米,大于1.0且不大于1.5,经营性用地,挂牌,70年,中铁建设集团房地产有限公司,9200万元,2019-10-25,2020-05-08 14:39:17,http://218.69.100.10/news.aspx?id=1017637,3695852ec142406ad6e0807bf1ea938e,
津南（挂）2019-16号,2019-10-25,津南（挂）2019-16号,津南区小站镇,11058.3方米,大于1.0且不大于1.4,经营性用地,挂牌,70年,中铁建设集团房地产有限公司,3330万元,2019-10-25,2020-05-08 14:39:20,http://218.69.100.10/news.aspx?id=1017638,a957693d0528362b75108d1c9812e9c9,
津西青（挂）G2019-04号,2019-10-28,津西青（挂）G2019-04号,天津市西青区张家窝镇天华路以东,46799.3方米,1.0-1.5,工业用地,挂牌,50年,天津市中升挑战生物科技有限公司,4180万元,2019-10-28,2020-05-08 14:39:22,http://218.69.100.10/news.aspx?id=1017639,a0ba8e3ab7fd023fe90cd3b1772206b6,
津西青（挂）G2019-05号,2019-10-28,津西青（挂）G2019-05号,天津市西青区张家窝镇安泽道以北,11999.7方米,1.0-1.5,工业用地,挂牌,50年,金西盟干细胞（天津）有限责任公司,1070万元,2019-10-28,2020-05-08 14:39:25,http://218.69.100.10/news.aspx?id=1017641,b5ea852f986b14ce09227793b4b70ce5,
津西青（挂）2019-19号,2019-10-28,津西青（挂）2019-19号,西青区张家窝镇京福公路以西、汇仁道以北,17596方米,≤4.0,经营性用地,挂牌,40年,光启（天津）商业管理有限公司,19500万元,2019-10-28,2020-05-08 14:39:27,http://218.69.100.10/news.aspx?id=1017642,8157ed1134856820f193ef0d1ac0a197,
津西青（挂）2019-20号,2019-10-28,津西青（挂）2019-20号,西青区张家窝镇睿智道以南,4450方米,≤0.8,经营性用地,挂牌,40年,天津市元林加油站有限公司,2500万元,2019-10-28,2020-05-08 14:39:29,http://218.69.100.10/news.aspx?id=1017643,4f374155c6b23aebabaca8a5a0f8e640,
津丽（挂）2019-12号,2019-10-30,津丽（挂）2019-12号,东丽区金钟街津围大道与金钟路交口,189536.5方米,≤2.0,经营性用地,挂牌,城镇住宅用地70年，商服用地40年，教育用地50年，交通服务场站用地50年，公园与绿地50年,中交置业有限公司,245100万元,2019-10-30,2020-05-08 14:39:31,http://218.69.100.10/news.aspx?id=1017797,36b15b0db7ac61609fa98741b8aef3a1,
津武（挂）G2019-023号,2019-10-31,津武（挂）G2019-023号,天津市武清区汽车园云景道南侧,66667.5方米,≥0.8,工业用地,挂牌,50年,清联智造（天津）实业有限公司,3550万元,2019-10-31,2020-05-08 14:39:34,http://218.69.100.10/news.aspx?id=1018010,58aa3f03f42dbce9f0756f2df040dbf0,
津宁（挂）G2019-11号,2019-10-31,津宁（挂）G2019-11号,天津市宁河区现代产业区,188147方米,≤1.2,工业用地,挂牌,50年,天津嘉富科技有限公司,14120万元,2019-10-31,2020-05-08 14:39:36,http://218.69.100.10/news.aspx?id=1018011,a4b9afa007d2a57f854de38486f6d6c1,
津辰园（挂）G2019-010号,2019-11-08,津辰园（挂）G2019-010号,天津市北辰区科技园区,216857.9平方米,0.7-1.5,工业用地,挂牌,50年,天津雷沃泉康农业机械有限公司,12974万元,2019-11-8,2020-05-08 14:39:39,http://218.69.100.10/news.aspx?id=1018375,ac7665049fa2839e4963649b5ea44399,
津宝（挂）G2018-005号,2019-11-14,津宝（挂）G2018-005号 ,天津市宝坻区林亭口镇二经路与四纬路交口,58106 平方米,≥0.8 ,工业用地,挂牌,50年,天津科宝企业管理有限公司,1920万元,2019-11-14,2020-05-08 14:39:41,http://218.69.100.10/news.aspx?id=1018678,fd421ac13a463a5a8ae0aae85c6c7376,
津蓟工（挂）2019-016号,2019-11-14,津蓟工（挂）2019-016号,天津市蓟州区仓园街南侧、富裕路西侧,9700.3平方米,≥0.8,工业用地,挂牌,50年,御洁坊（天津）科技有限公司,370万元,2019-11-14,2020-05-08 14:39:45,http://218.69.100.10/news.aspx?id=1018679,ac05ba5e3efd2d8da12454c24ef6aeef,
津蓟工（挂）2019-010号,2019-11-14,津蓟工（挂）2019-010号,天津市蓟州区仓园街南侧、富裕路西侧,19430.2平方米,≥0.8,工业用地,挂牌,50年,天津弘扬永鑫科技有限公司,740万元,2019-11-14,2020-05-08 14:39:46,http://218.69.100.10/news.aspx?id=1018681,c02f680e82a21ad28a902ee67aa38b7d,
津蓟工（挂）2019-017号,2019-11-14,津蓟工（挂）2019-017号,天津市蓟州区仓园街南侧、富裕路西侧,9700.9平方米,≥0.8,工业用地,挂牌,50年,御邦（天津）科技有限公司,370万元,2019-11-14,2020-05-08 14:39:48,http://218.69.100.10/news.aspx?id=1018682,f95a34644f12ec47190cb7e81801a4f9,
津蓟集（挂）2018-012号,2019-11-21,津蓟集（挂）2018-012号,蓟州区罗庄子镇和平村,1250.0方米,1.0以下,经营性用地,挂牌,40年,天津蓟州区博达安农业科技有限公司,75万元,2019-11-21,2020-05-08 14:39:51,http://218.69.100.10/news.aspx?id=1018935,23ec860733b9a3c0adeeb23bd3ba2b39,
津蓟集（挂）2018-013号,2019-11-21,津蓟集（挂）2018-013号,蓟州区罗庄子镇和平村,3926.1方米,1.0以下,经营性用地,挂牌,40年,天津蓟州区博达安农业科技有限公司,235.566万元,2019-11-21,2020-05-08 14:39:53,http://218.69.100.10/news.aspx?id=1018936,4a8110094b774019556bf24c3784dbe0,
津武（挂）2019-065号,2019-11-22,津武（挂）2019-065号,武清区高村镇书院道西侧,27195.1方米,大于1.0且不大于1.6,经营性用地,挂牌,城镇住宅70年、商服40年,首金茂创（天津）置业发展有限公司,32800万元,2019-11-22,2020-05-08 14:39:56,http://218.69.100.10/news.aspx?id=1019060,40e96283ef5c7ab1ac8a6f3506e59955,
津西青（挂）2019-21号,2019-11-27,津西青（挂）2019-21号,西青区张家窝镇京福公路以西、丰泽道以南,46861.1方米,大于1.0小于等于2.0,经营性用地,挂牌,70年,天津融承和景企业管理咨询有限公司,94800万元,2019-11-27,2020-05-08 14:39:59,http://218.69.100.10/news.aspx?id=1019449,fac16736a6167a73538163861fd21b7a,
津北辰双（挂）2019-146号,2019-12-11,津北辰双（挂）2019-146号,北辰区和正道与双裕路交口东北侧,91499.3方米,≤2.0,经营性用地,挂牌,城镇住宅70年、商服40年,天津北科置业有限责任公司,55000万元,2019-12-11,2020-05-08 14:40:01,http://218.69.100.10/news.aspx?id=1020147,570856d3f7a915c5701fbd530bae2939,
津武（挂）G2019-077号,2019-12-12,津武（挂）G2019-077号,天津市武清区高村镇汇旺道南侧,164335方米,≥1.0,工业用地,挂牌,50年,中国电信集团有限公司京津冀大数据基地建设运营中心,8520万元,2019-12-12,2020-05-08 14:40:04,http://218.69.100.10/news.aspx?id=1020148,015b66f32c681c51a5f930eddd97eed8,
津海河园（挂）2019-148号,2019-12-13,津海河园（挂）2019-148号,天津海河教育园区雅润路与福明路交口西南侧,50224方米,不大于1.4,经营性用地,挂牌,城镇住宅70年、商服40年,天津金泰丰房地产开发有限公司,64000万元,2019-12-13,2020-05-08 14:40:07,http://218.69.100.10/news.aspx?id=1020149,771f16800cb81344f5d91307100bb9a5,
