文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
拉文创管挂〔2018〕10号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/12/24 10:43,|2018-8,|灵居路以北、花园路以西CT05-14,|62739,|旅游文化设施用地,|商业:40年,|不大于2.0,|不小于35%,|不大于35%,|不高于50米,|4572.4000,|11431.0000,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53712,713a7db0e0f54354691fefba114983fd
（拉公共柳梧国土挂〔2018〕3号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2018/12/29 16:20,|2018-（柳）9号|2018-（柳）10号|2018-（柳）11号|2018-（柳）13号|2018-（柳）14号|2018-（柳）15号,|柳梧新区中组团藏创以西、扎德路以南|柳梧新区中组团柳慧路以东、栖创路以南、栖慧大道以西、柳创路以北|柳梧新区中组团栖慧大道以西、栖创路以北|柳梧新区中组团通慧路以东、栖创路以北|柳梧新区中组团通慧路以东、栖创路以北|柳梧新区北组团北京大道北延段以东、世纪大道以北,,,|50年|50年|50年|50年|50年|商业40年 住宅70年,|不大于1.5|不大于2.2|不大于1.2|不大于1.2|不大于1.2|不大于3.6,|不小于25%|不小于35%|不小于35%|不小于35%|不小于35%|不小于30%,|不大于60%|不大于30%|不大于35%|不大于35%|不大于35%|不大于30%,|不高于18米|不高于60米|不高于20米|不高于20米|不高于20米|不高于50米,,|5001500元|10361000元|5394816元|2321600元|1518200元|6068500元,|50万元|50万元|50万元|50万元|50万元|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53755,8c43306a624053906c7cd7057f75c34c
拉文创管挂〔2019〕1号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/2/22 18:20,|2018-5,|云天路以南、林卡路以东CT04-116,|14001,|旅游休闲用地,|商业:40年,|不大于0.5,|不小于50%,|不大于20%,|不高于25米,|1032.8258,|2582.06442,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54652,ac352860dcf85cb61390636c033ae53f
拉文创管挂〔2019〕2号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/3/15 17:32,|2018-2,|望圣路以东、宗赞路以西CT07-32,|26961,|旅游商业用地,|40年,|不大于1.8,|不小于35%,|不大于35%,|不大于32米,|1263.9320,|3159.8300,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54751,e6d09c2c5d6f52b02e42dc438910a5de
拉公共经开挂〔2019〕1号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/4/2 11:35,|JKQ2019-1|JKQ2019-2|JKQ2019-3|JKQ2019-4|JKQ2019-5,|拉萨经济技术开发区B区拉青路以东、B区园区南路以北地块内|拉萨经济技术开发区B区乃岗路以南、拉青路以西块内|拉萨经济技术开发区B区南环路以北、拉青路以西地块内|拉萨综合保税区纬一路以南、巡逻道以北地块内|拉萨综合保税区纬一路以北、通勤路以南地块内,|11241.38|19925.49|26939.85|40457.66|38555.22,|工业|工业|工业|工业|物流仓储,|50|50|50|50|50,|不小于1.0|不小于1.0|不小于1.0|0.8-2.0|0.8-1.5,|不小于20%|不小于20%|不小于20%|不小于20%|不小于20%,|不小于30%|不小于30%|不小于30%|不小于30%|不小于30%,,|178|318|428|619|612,|444.0346|793.0346|1069.5121|1546.8987|1529.4086,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54828,6f47a829d23b6dcf87fcb988e8a76ece
（拉公共国土挂〔2019〕1号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/4/3 15:55,|LSGT2018-38号|LSGT2018-39号|LSGT2018-40号|LSGT2018-41号|LSGT2019-1号|备 注,|城关区加荣路以北，藏热路以西。|城关区金珠西路以南，当巴西路以西。|城关区金珠西路以南，滨河北路以北。|城关区金珠西路以南，当雄路以西。|城关区贡布堂路以南，江冲路以西。|建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。,|73342.95|17665|6332|34544|6667,|二类居住|居住|居住|居住|居住,,|不大于1.8|不大于1.5|不大于1.5|不大于1.5|不大于2.5,|不小于35%|不小于30%|不小于30%|不小于30%|不小于35%,|不大于30%|不大于30%|不大于30%|不大于30%|不大于30%,|不高于35米|不高于32米|不高于32米|不高于32米|不高于40米,|263389203|27133440|9675296|56928512|24321216,|329236503|33916800|12094120|71160640|30401520,|100|50|50|50|50,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54839,c2c7553f972028a7ace33aecabbf5a81
拉文创管挂〔2019〕3号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/4/10 17:19,|2018—10|2019-1,|文成大道以东、宝瓶路以西CT04-36|宝瓶路以西、文成大道以东、云天路以南CT04-34,|3618|5177（其中规划坑塘沟渠343平方米）,|商业设施用地|商业设施用地,|商业40年|商业40年,|不大于1.5|不大于1.5,|不小于35%|不小于35%,|不大于30%|不大于30%,|不高于25米|不高于25米,|304.9280|414.7800,|762.32|1036.95,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54878,af2a6326e1ed790392b1005aafb5ed50
拉文创管挂〔2019〕4号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/4/26 16:24,|2018—13,|静思路以南、慧谷大道以西CT05-04,|14654,|旅游商业用地,|商业40年,|不大于1.8,|不小于35%,|不大于35%,|不高于50米,|1107.8440,|2769.61,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54984,62287a2dbfdb57cfa87ab67693f9394f
（拉公共国土挂〔2019〕2号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2019/5/21 10:33,|LSGT2019-2号|备 注,|城关区西三路以西、加荣路以南。|1、建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。2、出让地块内的规划绿地1183平方米内严禁修建任何构筑物，由竞得人负责实施城市绿化。,|9121平方米（其中规划绿地面积1183平方米）,|居住,|70年,|不大于2.0,|不小于35%,|不大于30%,|不高于50米,|25300000,|31577364,|50,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55199,adcfd52baa581509102f9e56a8c1f5c0
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2017〕4号）,拉萨市公共资源交易中心,2017/10/17 0:00,|LSGT2017-18|1、 该地块的建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照《规划设计条件》执行。2、 本公告自2017年10月17日起至2017年11月5日止。挂牌期自2017年11月6日至11月15日下午18:00分止。,|城关区教育城百淀大道以北，丹圣路以西,,,|40,|不大于0.8,|不小于10,|不大于25,,|218.4,,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46157,63e0520d949355f3a9193d4210710a42
拉萨市国有建设用地使用权公开出让公告（拉公共柳梧国土挂〔2017〕3号）,拉萨市公共资源交易中心,2017/5/10 0:00,|2016-（柳）11号,|柳梧新区北组团察古大道以西，团结大街以南,,,|商业40年；住宅70年,|不大于4.2,|不小于30%,|不小于30%,|不大于80米,,|2533446元,|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42661,ef39c3911bb4d8f205b0f89804b3d15a
拉公共经开挂〔2017〕2号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/5/18 0:00,|JKQ2017-5,|拉萨经济技术开发区A区林琼岗路以北、拉贡公路以东地块内,|7194.1,|商业(加油加气站用地),|40,|不大于0.8,|不小于25%,|不大于30%,,|311,|776.2434,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42734,f819d061d926573b2ee7a522caf51dc1
拉公共经开挂〔2017〕3号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/5/25 0:00,|JKQ2017-6,|拉萨经济技术开发区A区林琼岗路以东、青藏铁路线以南地块内,|10151.04,|工业,|50,|不小于1.0,|不小于20%,|不小于30%,,|154,|383.71,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42838,0e3c3f82ccf0ebd7ab997231f6be8db9
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2017〕2号）,拉萨市公共资源交易中心,2017/6/5 0:00,|LSGT2017-10|1、LSGT2017-10号地块的建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照《规划设计条件》执行。,|城关区东三路以东，学府路以南，区教育厅北侧。,,,|商业40年住宅70年,|不大于3.0,|不小于30,|不大于40,,|商业：228.0005住宅：912.0019合计：1140.0024,,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42877,3873c2ab90f63aa793b75b2aed7c52d4
拉文创管挂〔2017〕3号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/6/16 0:00,|2017-02|2017-06|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|慈觉林大道以北、迎亲大桥以东、|慈觉林大道以北、迎亲大桥以东,|22922.41|12712.74,|区域交通设施用地（机场用地）|康体用地,|综合或者其他用地：50年|商业：40年,|不大于0.5|不大于1.0,|不小于30%|不小于35%,|不大于25%|不大于30%,|不大于15米(塔台不高于23米）|不大于15米(塔台不高于23米),|3575895.96|6915730.5600,|8939739.9|17289326.4,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=43681,bc282f54df34bec8594b794eac40ee2d
（拉公共国土挂〔2017〕3号）拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/7/4 0:00,|LSGT2017-1|LSGT2017-2|LSGT2017-4|LSGT2017-6|1、 LSGT2017-1、2、4、6号地块的建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照《规划设计条件》执行。2、 LSGT2017-1号地块建筑限高不高于24米（由于周边涉及军事用地，具体建设高度需征求部队意见）。3、 本公告自2017年7月6日起至2017年7月25日止。挂牌期自2017年7月26日至8月6日下午18:00分止。,|城关区藏热南路以东，滨河路以北，贡布堂路以南|城关区藏热路以西，当热路以南|教育城集贤路以南，丹墨路以东，书山路以北，百淀东路以西|城关区纳金路以南，西三路以西,,,|40|70|70|70,|不大于2.0|不大于2.4|不大于2.4|不大于2.0,|不小于20|不小于35|不小于35|不小于35,|不大于50|不大于30|不大于30|不大于30,,|415.5417|689.4461|1691.9356|363.7920,,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44492,ec0a13b2dc63dcc829ceccf499c69777
拉萨市国有建设用地使用权公开出让公告（拉公共柳梧国土挂〔2017〕4号）,拉萨市公共资源交易中心,2017/7/14 0:00,|2017-（柳）1号|2017-（柳）2号|2017-（柳）3号|2017-（柳）4号,|柳梧新区中组团栖创路以南、柳慧路以西|柳梧新区中组团柳创路以南、柳慧路以东|柳梧新区中组团柳南大道以东|柳梧新区北组团站前大道以南、幸福街以北、商业东路以西,,,|70年|50年|50年|商业40年；住宅70年,|不大于2.5|不大于1.5|不大于1.5|不大于4.2,|不小于35%|不小于25%|不小于25%|不小于30%,|不小于35%|不小于30%|不小于30%|不大于40%,|不大于60米|不大于18米|不大于18米|不大于80米,,|23399280元|7583050元|19144258.6元|25816387元,|50万元|50万元|50万元|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44580,6cbbf2f2d073ff480994daa9fbb16115
拉文创管挂〔2017〕5号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/10/19 0:00,|2016-12|2017-10| 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|宗赞路以东CT04-103|静思路以北CT01-51,|8794|3320,|商业设施用地|加油站气站用地,|商业：40年|商业：40年,|不大于1.5|不大于0.8,|不小于35%|不小于20%,|不大于30%|不大于30%,|不大于25米|不大于9米,|411.5592|159.8912,|1028.8980|399.7280,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46179,cab06eaab99d22c939e579386d4482b0
拉经开拍字〔2016〕7号拉萨市国有建设用地使用权拍卖出让公告,拉萨市公共资源交易中心,2017/10/25 0:00,|JKQ2017-15号|JKQ2017-17号,|拉萨经济技术开发区B区拉青东二路以东、B区北环路以南地块内|拉萨经济技术开发区B区园区南路以北、B区北环路以东地块内,|56904.7㎡|32328.7㎡,,|70年|70年,|不大于3.5|不大于3.5,|不低于35|不低于35,|不大于20%|不大于20%,|不大于55|不大于55,|3164万元|1742万元,|7909.7533万元|4353.0595万元,|50万元|50万元,：|该宗地为85.36亩。用途为住宅，出让年限为， 70年。|该宗地为48.49亩。用途为住宅，出让年限为， 70年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46254,2847a7e7ed50b142206a0c5ceae4d34b
拉公共经开挂〔2017〕6号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/10/25 0:00,|JKQ2017-13|JKQ2017-14|JKQ2017-16,|拉萨经济技术开发区A区格桑路以南、扎西路以东地块内|拉萨经济技术开发区B区拉青东二路以东、乃岗路以北地块内|拉萨经济技术开发区B区乃岗路以南地块内,|15940.71|24012.74|64661.96,|商业|商业|商业,|40|40|40,|不大于2.8|不大于4.0|不大于2.8,|不小于25%|不小于25%|不小于25%,|不大于50%|不大于40%|不大于50%,,|1945|1631|4074,|4861.93（含房屋1461.56）|4075.1164|10183.3535,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46253,6ce7c459eb251be0482f5e6dc147a097
拉文创管挂〔2017〕6号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/11/8 0:00,|2016-19|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|宝平路以东CT06-04,|100812,|旅游休闲用地,|商业：40年 ,|不大于1.0,|不小于40%,|不大于30%,|不大于25米,|29639024.4,|7409.7561,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46380,ed2a82677abe8bc882db85f653fb60a3
拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2017/11/13 0:00,|2017-（柳）5号|2017-（柳）6号|2017-（柳）7号|2017-（柳）8号|2017-（柳）9号|2016-（柳）10号,|柳梧新区商业西路以东、商业东路以西、站前大街以北|柳梧新区商业西路以东、站前大街以南、幸福街以北|柳梧新区中组团柳创路以南、柳慧路以西|柳梧新区中组团察巴路以南、藏创大道以西|柳梧新区中组团柳创路以南、柳慧路以西|柳梧新区中组团柳创路以南、柳慧路以西,,,|商业40年；住宅70年|商业40年;住宅70年|50年|50年|50年|50年,|不大于4.2|不大于4.2|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5,|不小于30%|不小于30%|不大于25%|不大于25%|不大于25%|不大于25%,|不大于40%|不大于40%|30%-60%|30%-60%|30%-60%|30%-60%,|不高于80米|不高于80米|不高于18米|不高于18米|不高于18米|不高于18米,,|37121350元|22221020元|1433405元|2999925元|2891091元|1551544.24元,|50万元|50万元|50万元|50万元|50万元|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46429,6e81ee3c7ac13fe28e2b604abb1e9073
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2017〕6号）,拉萨市公共资源交易中心,2017/11/20 0:00,|LSGT2017-22号|LSGT2017-23号|LSGT2017-24号|LSGT2017-25号|备注,|城关区教育城书山路以北、丹圣路以西|城关区劳动路以北、东一支路以东、东三路以西|城关区纳金路以南、东二支路以东|城关区东二路以东、劳动路以南、江苏大道以北|2、本公告自2017年11月20日起 2017年12月9日止。挂牌期自2017年12月10日至12月19日下午18:00分止,|62139|12944|29795|16899,|居住|居住|商业|商业,,|不大于1.5|不大于2.0|不大于3.0|不大于2.5,|不小于35%|不小于35%|不小于20%|不小于25%,|不大于30%|不大于30%|不大于50%|不大于45%,|不高于24米|不高于40米|不高于55米|不高于40米,|60010000|44455000|107024000|52928000,|75001773|55568592|133779550|66159585,|50|50|50|50,1、建筑退让、建筑间距等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46498,aebf1321324b60f8d1d6db154990a44e
拉萨市国有建设用地使用权公开出让公告（拉公共柳梧国土挂〔2017〕6号）,拉萨市公共资源交易中心,2017/11/25 0:00,|2017-(柳)11号|柳梧新区柳梧大道以东（地块二）|备注,|柳梧新区柳梧大道以东（地块一）|103640.46|本公告自2017年11月25日起 2017年12月14日止。挂牌期自2017年12月15日至12月24日下午18:00分止,|83917.21|居住,|居住|不大于1.2,,|不大于0.8|不大于35%,|不小于35%,|不大于35%|高于35米,|不高于15米|不小于35%,|80724964,|201812408,|50,1、建筑退让、建筑间距等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46570,2d6880e42695922ac3742e839d437f2f
拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/12/1 0:00,|LSGT2017-20号|备注,|城关区教育城百淀东路以东，书山路以北。|2、本公告自2017年12月1日起 2017年12月20日止。挂牌期自2017年12月21日至12月30日下午18:00分止,|75334,|居住,|70年,|不大于1.8,|不小于35%,|不大于30%,|不高于40米,|80215644,|100269554,|50,1、建筑退让、建筑间距等各项指标严格按照城乡规划部门核定的《规划设计条件》执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46635,412f09f3f6748f9a799830896bf45a77
西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/1/17 0:00,|2017-11|2017-12|2017-13|2017-14|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行,|灵望路以南、慧谷大道以西(CT05-08 )|牧园以南、妙光大道以西(CT01-34)|灵望路以东、慧谷大道以西(CT05-10)|馨同路以东、灵望路以北(CT05-21),|4937|6659|3914|13333,|旅游商业用地|商业设施用地|旅游商业用地|旅游文化设施用地,|商业：40年 |商业:40年 |商业:40年 |商业:40年,|不大于1.2|不大于2.5|不大于1.2|不大于、2.0,|不小于35%|不小于35%|不小于35%|不小于35%,|不大于30%|不大于40%|不大于30%|不大于35%,|不大于15米|不大于25米|不大于15米|不大于50米,|259.6862|602.9858|206.1895|662.9168,|649.2155|1507.4644|515.4738|1657.2919,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=48460,45475e310082eb16b4f0944c83bfab07
西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/3/6 0:00,|2017-20|1 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行,|达瓦路以北、林卡路以东CT04-23,|8148,|商务用地,|居住：40年,|不大于1.5,|不小于35%,|不大于40%,|不大于15米,|436.7328,|1091.8320,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=48708,499320be4f20085f07a8280daba16cce
（当公共国土挂〔2018〕1号）当雄县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/4/9 0:00,|DXGT2018-001|备注|2、本公告自2018年4月9日起至2018年5月18日止。挂牌期自2018年4月29日至5月18日下午18：00分止,|当雄县纳木湖乡乡政府大院围墙北侧|1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,|212001.1,|商服,|40,|不高于1.0,|不低于30%,|不高于50%,,|1263.096,|3157.74,,1、建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照规划相关指标执行。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=48985,380edf1c142b465de2452c0ea462724a
（拉公共柳梧国土挂〔2018〕1号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2018/4/9 0:00,|2018-（柳）1号|2018-（柳）2号|2018-（柳）3号|2018-（柳）4号|2018-（柳）5号,|柳梧新区柳梧大道以西、奥体大街以北、林荫大道以东|柳梧新区新村北路以南、团结大街东延段以西|柳梧新区新村北路以北、团结大街东延段以西|柳梧新区中组团藏创大道以西、察巴路以南|柳梧新区中组团藏创大道以西、察巴路以南,,,|40年|40年|40年|50年|50年,|不大于2.4|不大于1.5|不大于1.5|不小于1.0|不小于1.0,|不小于30%|不小于30%|不小于30%|不大于25%|不大于25%,|不大于30%|不大于40%|不大于40%|不小于30%|不小于30%,|不高于50米|不高于15米|不高于15米|不高于18米|不高于18米,,|122929920.00元|14022840.00元|40879728.64元|1500075.00元|2250000.00元,|50万元|50万元|50万元|50万元|50万元,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=48984,0ef322615ebbaeb71aff460453efb62e
尼国土挂〔2018〕1号尼木县国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/5/3 0:00,|2018-001,|尼木县吞巴乡吞达村,|90927.1213,|仓储,|50,|不高于0.8,|不低于15%·,|不高于40%,,|155,|772.88,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=49911,d53862903ecfbb83c183e742f8a1746c
拉文创管挂〔2018〕3号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/5/10 0:00,|2017-15|1 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行,|灵居路以东、馨园路以南CT05-18,|23573,|旅游文化设施用地,|40年,|不大于2.5,|不小于35%,|不大于35%,|不大于50米,|1280.4854,|3201.2134,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=49967,f41a911cf778342ca34879aa5a806094
拉公共经开挂〔2018〕1号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/5/11 0:00,|JKQ2018-1|JKQ2018-2|JKQ2018-3|JKQ2018-4|JKQ2018-5|JKQ2018-6|JKQ2018-7,|拉萨经济技术开发区A区拉萨河堤以西、林琼岗支路以北地块内|拉萨经济技术开发区A区林琼岗路以东、林琼岗支路以南地块内|拉萨市综合保税区纬一路以南地块内|拉萨经济技术开发区B区西环路以东、北环路以南地块内|拉萨经济技术开发区B区柳东路以西、北环路以南地块内|拉萨经济技术开发区B区乃岗路以南、拉青路以西地块内|拉萨市综合保税区纬一路以南、经一路以西地块内,|33492.92|24667.85|33326.22|22332.71|83566.69|13330.76|20000.03,|工业|商业|工业|物流仓储|物流仓储|工业|工业,|50|40|50|50|50|50|50,|不小于1.0|不大于2.8|0.8-2.0|不小于1.0|不小于1.0|不小于1.0|0.8-2.0,|不小于20%|不小于25%|不小于20%|不小于25%|不小于25%|不小于20%|不小于20%,|不小于30%|不大于50%|不小于30%|不小于30%|不小于30%|不小于30%|不小于30%,,|515|1938|510|368|1421|206|305,|1287.1329|4843.7543|1273.0616|919.1401|3551.5843|513.2343|760.4211,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=49982,693ddb25fb704e066bab4c70e430a90d
拉文创管挂〔2018〕4号 西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2018/5/14 0:00,|2017-18|2017-19|1 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行,|馨园路以东、灵望路以北CT05-21|灵望路以北、慧谷大道路以西CT05-06,|71237|53054,|旅游文化设施用地|旅游休闲用地,|40年|40年,|不大于2.0|不大于2.0,|不小于35%|不小于40%,|不大于35%|不大于35%,|不大于50米|不大于50米,|4211.53144|3456.99864,|10528.8286|8642.4966,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=49992,20fd0dc97cba42b3d515af688c814da9
拉萨市国有建设用地使用权拍卖出让公告拉经开拍字〔2018〕1号,拉萨市公共资源交易中心,2018/5/30 17:04,|JKQ2018-9号,|拉萨经济技术开发区B区乃岗路以北、拉青东一路以东地块内,|18617.76㎡,,|40年,|不大于2.8,|不小于25,|不大于50%,|不大于36,|1042万元,|2605万元,|50万元,：|该宗地为27.93亩。用途为商业，出让年限为40年。,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50139,876afb26254d582d83cfbfa346765c90
拉文创管挂〔2016〕4号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/11/21 0:00,|2016-14|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|文成大道以西、达瓦路以北,|32367,|旅游休闲用地,|商业：40年,|不大于1.5,|不小于40%,|不大于30%,|不大于25米,|818.36724,|2045.9181,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=41874,83cc6ac5fac82c65911493e0214592b3
拉文创管挂〔2016〕1号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/6/20 0:00,|2016-1|2016-2|2016-3|2016-4|2016-5|2016-6|2016-7|2016-8|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|达瓦路以西、林卡路以北|林卡路以东、云天路以南|格桑路以北|格桑路以南|妙光大道以西、牧园路以南|牧园路以南、格桑路以东|妙光大道以东、云天路以南、林卡路以西|文成大道以东、宗赞路以西,|55361|24241|43935|3757|169516|5554|10230|12480,|商业、住宅(商住建筑面积比例7:3)|商业、住宅（商住建筑面积比例5:5）|旅游休闲用地|商业设施用地|商业、住宅（商住建筑面积比例3:7）|商业设施用地|商业设施用地（商住建筑面积比例8:2）|商业设施用地,|商业：40年，住宅70年|商业：40年，住宅70年|商业40年|商业40年|商业：40年，住宅70年|商业40年|商业：40年，住宅70年|商业40年,,|不小于35%|不小于35%|不小于35%|不小于40%|不小于35%|不小于35%|不小于35%|不小于35%,|不大于35%|不大于35%|不大于30%|不大于30%|不大于40%|不大于30%|不大于40%|不大于30%,|不大于36米|不大于25米|不大于25米|不大于25米|不大于50米|不大于25米|不大于25米|不大于15米,|1999.63932|1047.2112|1586.9322|135.70284|6122.91792|200.61048|429.6600|503.1936,|4999.0983|2618.0280|3967.3305|339.2571|15307.2948|501.5262|1074.1500|1257.9840,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=39770,20fb0850c6e3a0f4d004303c64a1c97b
拉公共国土挂〔2016〕5号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/3/17 0:00,|2015-8,|曲水县聂当乡（自治区危险废弃物处置中心东南侧）,|66667平方米,|工业,|50,|不小于0.7,|不大于20%,|不低于30%,,|160.0008,|400.0020,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=32213,fd6ca7c04c6e191931a94305f4654c56
